depth_old,depth_new,old_first,starter,new_started,winner,winner_started,plies,old_moves,new_moves,old_time_s,new_time_s,game_index
1,1,True,old,False,draw,,42,21,21,6.458874399890192,7.017756099987309,0
1,1,False,new,True,new,True,39,19,20,0.001261899946257472,0.0012107001966796815,1
1,1,True,old,False,draw,,42,21,21,0.0010656000231392682,0.0010890000849030912,2
1,1,False,new,True,new,True,39,19,20,0.0009598000324331224,0.0009675001492723823,3
2,2,True,old,False,old,True,23,12,11,0.0011837999918498099,0.0011321999481879175,0
2,2,False,new,True,new,True,41,20,21,0.0014418000355362892,0.0014106998569332063,1
2,2,True,old,False,old,True,23,12,11,0.0011921999393962324,0.0011429000296629965,2
2,2,False,new,True,new,True,41,20,21,0.002866600058041513,0.0021065998589619994,3
3,3,True,old,False,draw,,42,21,21,0.0025392998941242695,0.0026978999958373606,0
3,3,False,new,True,old,False,36,18,18,0.002003400062676519,0.002243399969302118,1
3,3,True,old,False,draw,,42,21,21,0.002315700170584023,0.002466999983880669,2
3,3,False,new,True,old,False,36,18,18,0.0022491998970508575,0.002241400012280792,3
4,4,True,old,False,old,True,39,20,19,0.006439000018872321,0.006239099951926619,0
4,4,False,new,True,new,True,39,19,20,0.005801400053314865,0.0060255000134930015,1
4,4,True,old,False,old,True,39,20,19,0.006027299968991429,0.005930800107307732,2
4,4,False,new,True,new,True,39,19,20,0.005857800017111003,0.005990599922370166,3
5,5,True,old,False,old,True,39,20,19,0.010829100152477622,0.008992800023406744,0
5,5,False,new,True,new,True,39,19,20,0.008139200159348547,0.010260700073558837,1
5,5,True,old,False,old,True,39,20,19,0.010220900119747967,0.008373900025617331,2
5,5,False,new,True,new,True,39,19,20,0.008120100013911724,0.010325600043870509,3
6,6,True,old,False,draw,,42,21,21,0.0650137000484392,0.06536739994771779,0
6,6,False,new,True,draw,,42,21,21,0.05990880000172183,0.06007950002094731,1
6,6,True,old,False,draw,,42,21,21,0.05777919990941882,0.06002549990080297,2
6,6,False,new,True,draw,,42,21,21,0.06238679989473894,0.05757150013232604,3
7,7,True,old,False,old,True,33,17,16,0.05270980024943128,0.052815299830399454,0
7,7,False,new,True,old,False,38,19,19,0.051818400097545236,0.05010449996916577,1
7,7,True,old,False,old,True,33,17,16,0.05298670008778572,0.05184800014831126,2
7,7,False,new,True,old,False,38,19,19,0.05402089998824522,0.05066080007236451,3
8,8,True,old,False,new,False,36,18,18,0.22303310019196942,0.2295045999926515,0
8,8,False,new,True,draw,,42,21,21,0.19252240017522126,0.19614260003436357,1
8,8,True,old,False,new,False,36,18,18,0.22367199999280274,0.24081960000330582,2
8,8,False,new,True,draw,,42,21,21,0.20490170014090836,0.204019500000868,3
9,9,True,old,False,new,False,40,20,20,0.3716708998545073,0.35788279998814687,0
9,9,False,new,True,old,False,40,20,20,0.4213834000984207,0.43987409997498617,1
9,9,True,old,False,new,False,40,20,20,0.39650459989206865,0.3818073997972533,2
9,9,False,new,True,old,False,40,20,20,0.3202502998756245,0.3124756999895908,3
10,10,True,old,False,old,True,39,20,19,2.0515920999459922,1.8058011999237351,0
10,10,False,new,True,new,True,39,19,20,1.7639198999968357,1.9182182002114132,1
10,10,True,old,False,old,True,39,20,19,1.9046349000418559,1.7537419000873342,2
10,10,False,new,True,new,True,39,19,20,1.7855208000401035,2.1727357998024672,3
11,11,True,old,False,new,False,42,21,21,1.8189424998126924,2.2883480999735184,0
11,11,False,new,True,old,False,42,21,21,2.037028099875897,1.8655455997795798,1
11,11,True,old,False,new,False,42,21,21,1.8753383000730537,2.200618399947416,2
11,11,False,new,True,old,False,42,21,21,2.1137350001372397,1.8695422002347186,3
12,12,True,old,False,new,False,38,19,19,5.958875400072429,6.423730999988038,0
12,12,False,new,True,new,True,39,19,20,6.012212700152304,6.150816400011536,1
12,12,True,old,False,new,False,38,19,19,5.946158700098749,6.263035300129559,2
12,12,False,new,True,new,True,39,19,20,6.1184290000237525,6.4044949997914955,3
13,13,True,old,False,new,False,34,17,17,8.547522099979687,11.831983399984892,0
13,13,False,new,True,new,True,39,19,20,11.107907100231387,10.228096700098831,1
13,13,True,old,False,new,False,34,17,17,8.553098800126463,11.61448960006237,2
13,13,False,new,True,new,True,39,19,20,11.685769599920604,10.4502111999318,3
