depth,games,old_wins,new_wins,draws,new_win_rate_as_first,new_win_rate_as_second,old_win_rate_as_first,old_win_rate_as_second,starter_wins,second_wins,starter_win_rate,second_win_rate,avg_plies
1,4,0,2,2,1.0,0.0,0.0,0.0,2,0,0.5,0.0,40.5
2,4,2,2,0,1.0,0.0,1.0,0.0,4,0,1.0,0.0,32.0
3,4,2,0,2,0.0,0.0,0.0,1.0,0,2,0.0,0.5,39.0
4,4,2,2,0,1.0,0.0,1.0,0.0,4,0,1.0,0.0,39.0
5,4,2,2,0,1.0,0.0,1.0,0.0,4,0,1.0,0.0,39.0
6,4,0,0,4,0.0,0.0,0.0,0.0,0,0,0.0,0.0,42.0
7,4,4,0,0,0.0,0.0,1.0,1.0,2,2,0.5,0.5,35.5
8,4,0,2,2,0.0,1.0,0.0,0.0,0,2,0.0,0.5,39.0
9,4,2,2,0,0.0,1.0,0.0,1.0,0,4,0.0,1.0,40.0
10,4,2,2,0,1.0,0.0,1.0,0.0,4,0,1.0,0.0,39.0
11,4,2,2,0,0.0,1.0,0.0,1.0,0,4,0.0,1.0,42.0
12,4,0,4,0,1.0,1.0,0.0,0.0,2,2,0.5,0.5,38.5
13,4,0,4,0,1.0,1.0,0.0,0.0,2,2,0.5,0.5,36.5
